Name,Address,City,ST,Zip,County,Website,Phone,Type,New_Revised,Updated
(512) Brewing Co,407 Radam Lane - F200,Austin,TX,78745,"Austin, TX, Travis",www.512brewing.com/,512-922-8093,BC/TR,,
1 Way Brewing Co,807 Maple Rd,Longmeadow,MA,1106,"Longmeadow, MA, Hampden",www.1waybrewing.com,,BC,NEW,6/22/2021
10 Barrel Brewing Co,1411 NW Flanders St,Portland,OR,97209,"Portland, OR, Multnomah",www.10barrel.com/,541-585-1007,BP,,
10 Barrel Brewing Co,1135 NW Galveston Ave,Bend,OR,97701,"Bend, OR, Deschutes",www.10barrel.com/,541-678-5228,BP,,
10 Barrel Brewing Co (A-B InBev),62970 NE 18th St,Bend,OR,97701,"Bend, OR, Deschutes",www.10barrel.com/,541-585-1007,BC,,
10 Barrel Brewing Co (AB-InBev),830 W Bannock St,Boise,ID,83702,"Boise, ID, Ada",www.10barrel.com/,541-678-5228,BP,,
10 Barrel Brewing Co (AB/InBev),2620 Walnut St,Denver,CO,80205,"Denver, CO, Denver",10barrel.com/pub/denver/,720-573-8992,BP,,
10 Barrel Brewing Co (AB/InBev),1501 E St,San Diego,CA,92101,"San Diego, CA, San Diego",10barrel.com/pub/san-diego/,619-578-2311,BP,,
10 Torr Distilling and Brewing Co,490 Mill St,Reno,NV,89502,"Reno, NV, Washoe",10torr.com,775-499-5276,BC/TR,,
10-56 Brewing Co,2120 US Rte 35,Knox,IN,46534,"Knox, IN, Starke",www.facebook.com/1056brewing,630-816-5790,BC/TR,,
101 Brewery (Twana Roadhouse),294793 US Hwy 101,Quilcene,WA,98376,"Quilcene, WA, Jefferson",www.101brewery.com/,360-765-6485,BP,,
105 West Brewing Co,1043 Park St,Castle Rock,CO,80109,"Castle Rock, CO, Douglas",105westbrewing.com/,303-660-2275,BC/TR,,
10K Brewing Co,2005 2nd Ave,Anoka,MN,55303,"Anoka, MN, Anoka",10kbrew.com/,763-392-4753,BC/TR,,
11 Below Brewing Co,6820 Bourgeois Rd,Houston,TX,77066,"Houston, TX, Harris",www.11belowbrewing.com/,281-444-2337,BC,,
1188 Brewing Co,141 E Main St,John Day,OR,97845,"John Day, OR, Grant",www.1188brewing.com/,541-575-1188,BP,,
11th Hour Brewing Co,3711 Charlotte St,Pittsburgh,PA,15201,"Pittsburgh, PA, Allegheny",www.11thhourbrews.com/,412-699-4074,BC/TR,,
12 Bones Brewing Co (12 Bones South),2350 Hendersonville Rd,Arden,NC,28704,"Arden, NC, Buncombe",www.12bonesbrewing.com,828-687-1395,BP,,
12 Fox Beer Co,4700 W Fitzhugh Rd,Dripping Springs,TX,78620,"Dripping Springs, TX, Hays",12foxbeer.com,512-626-4458,BC/TR,,
12 Gates Brewing Co,80 Earhart Dr,Williamsville,NY,14221,"Buffalo, NY, Erie",12gatesbrewing.com/,716-906-6600,BP,,
12 String Brewing Co,11616 E Montgomery Dr - #26,Spokane,WA,99206,"Spokane, WA, Spokane",www.12stringbrewingco.com/,509-990-8622,BC/TR,,
12 West Brewing Co,7733 E McDowell Rd,Mesa,AZ,85007,"Phoenix, AZ, Maricopa",12westbrewing.com,602-339-5014,BC,,
127 Brewery,3090 Shirley Dr,Jackson,MI,49201,"Jackson, MI, Jackson",www.facebook.com/127brewing/,517-414-9275,BC/TR,,
13 Below Brewery,7391 Forbes Rd,Cincinnati,OH,45233,"Cincinnati, OH, Hamilton",www.13belowbrewery.com,513-975-0613,BC/TR,,
13 Point Brewing Co,8035 Broadway,Lemon Grove,CA,91945,"Lemon Grove, CA, San Diego",13pointbrewing.com,619-303-4673,BC/TR,,
13 Stripes Brewing Co,250 Mill St - Suite PW3101,Taylors,SC,29687,"Taylors, SC, Greenville",www.13stripesbrewery.com/,864-349-1430,BP,,
13 Virtues Brewing Co,6410 SE Milwaukie Ave,Portland,OR,97202,"Portland, OR, Multnomah",13virtuesbrewing.com/,503-239-8544,BP,,
13th Child Brewing Co,345 S Main St,Williamstown,NJ,8094,"Williamstown, NJ, Gloucester",www.facebook.com/13th-Child-Brewery-1719376458315597/,609-214-2289,BC/TR,,
14 Cannons Brewery + Showroom,31125 Via Colinas - Suite 907,Westlake Village,CA,91362,"Thousand Oaks, CA, Ventura",www.14cannons.com,818-699-6165,BC/TR,,
14 Lakes Brewery,36846 County Rd 66,Cross Lake,MN,56442,"Crosslake, MN, Crow Wing",www.facebook.com/14-Lakes-Brewery-Crosslake-Minnesota-1796465627048060/,218-232-2178,BC/TR,,
1487 Brewery,7620 Industrial Pkwy,Plain City,OH,43064,"Plain City, OH, Madison",www.1487brewery.com,614-536-1487,BP,,
14er Brewing & Beer Garden,3120 Blake St - Unit C,Denver,CO,80205,"Denver, CO, Denver",,720-773-1437,BC/TR,,
14th Star Brewing Co,133 N Main St - #7,St Albans,VT,5478,"Saint Albans, VT, Franklin",www.14thstarbrewing.com/,802-528-5988,BC/TR,,
15-24 Brew House,420 Lincoln Ave,Clay Center,KS,67432,"Clay Center, KS, Clay",1524brewhouse.com,785-777-1524,BP,,
16 Lots Brewing Co (Mad Monks Pizza),753 Reading Rd,Mason,OH,45040,"Mason, OH, Warren",16lots.com/,513-486-3672,BP,,
16 Stone Brewpub,9542 Main St,Holland Patent,NY,13354,"Holland Patent, NY, Oneida",www.16stonebrewpub.com,315-865-8500,BP,,
1623 Brewing Co,5975 Exchange Dr - Suite H,Eldersburg,MD,21784,"Sykesville, MD, Carroll",www.1623brewing.com,410--871-8795,BC/TR,,
1717 Brewing Co,322 E Court Ave,Des Moines,IA,50309,"Des Moines, IA, Polk",1717brewing.com,515-243-7868,BC/TR,,
