FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
1007,AL,Bibb County,Bibb ,"22,915",1,Large-in a metro area with at least 1 million residents or more                                     ,City
1009,AL,Blount County,Blount ,"57,322",1,Large-in a metro area with at least 1 million residents or more                                     ,City
1021,AL,Chilton County,Chilton ,"43,643",1,Large-in a metro area with at least 1 million residents or more                                     ,City
1073,AL,Jefferson County,Jefferson ,"658,466",1,Large-in a metro area with at least 1 million residents or more                                     ,City
1115,AL,St. Clair County,St. Clair ,"83,593",1,Large-in a metro area with at least 1 million residents or more                                     ,City
1117,AL,Shelby County,Shelby ,"195,085",1,Large-in a metro area with at least 1 million residents or more                                     ,City
1127,AL,Walker County,Walker ,"67,023",1,Large-in a metro area with at least 1 million residents or more                                     ,City
4013,AZ,Maricopa County,Maricopa ,"3,817,117",1,Large-in a metro area with at least 1 million residents or more                                     ,City
4021,AZ,Pinal County,Pinal ,"375,770",1,Large-in a metro area with at least 1 million residents or more                                     ,City
5035,AR,Crittenden County,Crittenden ,"50,902",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6001,CA,Alameda County,Alameda ,"1,510,271",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6013,CA,Contra Costa County,Contra Costa ,"1,049,025",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6017,CA,El Dorado County,El Dorado ,"181,058",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6037,CA,Los Angeles County,Los Angeles ,"9,818,605",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6041,CA,Marin County,Marin ,"252,409",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6059,CA,Orange County,Orange ,"3,010,232",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6061,CA,Placer County,Placer ,"348,432",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6065,CA,Riverside County,Riverside ,"2,189,641",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6067,CA,Sacramento County,Sacramento ,"1,418,788",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6069,CA,San Benito County,San Benito ,"55,269",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6071,CA,San Bernardino County,San Bernardino ,"2,035,210",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6073,CA,San Diego County,San Diego ,"3,095,313",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6075,CA,San Francisco County,San Francisco ,"805,235",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6081,CA,San Mateo County,San Mateo ,"718,451",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6085,CA,Santa Clara County,Santa Clara ,"1,781,642",1,Large-in a metro area with at least 1 million residents or more                                     ,City
6113,CA,Yolo County,Yolo ,"200,849",1,Large-in a metro area with at least 1 million residents or more                                     ,City
8001,CO,Adams County,Adams ,"441,603",1,Large-in a metro area with at least 1 million residents or more                                     ,City
8005,CO,Arapahoe County,Arapahoe ,"572,003",1,Large-in a metro area with at least 1 million residents or more                                     ,City
