key,Name,Address,City,ST,Zip,County,Website,Phone,Type,New_Revised,Updated,FIPS
Anchorage AK,49th State Brewing Co Anchorage,717 W 3rd Ave,Anchorage,AK,99501,Anchorage,49statebrewing.com/anchorage/,907-277 7727,BP,,,2020
Anchorage AK,Anchorage Brewing Co,148 W 91st Ave,Anchorage,AK,99515,Anchorage,anchoragebrewingcompany.com/,907-360-5104,BC/TR,,,2020
Anchorage AK,Broken Tooth Brewing Co,2021 Spar Ave,Anchorage,AK,99501,Anchorage,brokentoothbrewing.net/,907-278-4999,BC,,,2020
Anchorage AK,Cynosure Brewing Co,144 E Potter Dr - Unit E,Anchorage,AK,99518,Anchorage,www.facebook.com/CynosureBrewing,907-563-2966,BC/TR,,,2020
Anchorage AK,Glacier Brewhouse,737 W 5th Ave,Anchorage,AK,99501,Anchorage,www.glacierbrewhouse.com/,907-274-2739,BP,,,2020
Anchorage AK,King Street Brewing Co,9050 King St,Anchorage,AK,99515,Anchorage,kingstreetbrewing.com/,907-336-5464,BC/TR,,,2020
Anchorage AK,Magnetic North Brewing Co,8861 Golovin St,Anchorage,AK,99507,Anchorage,magneticnorthbrewingco.com,907-891-7406,BC/TR,,,2020
Anchorage AK,Midnight Sun Brewing Co,8111 Diamond Hook Dr,Anchorage,AK,99507,Anchorage,msbc2014.us.cloudlogin.co/,907-344-1179,BP,,,2020
Anchorage AK,Onsite Brewing Co,3211 Denali St,Anchorage,AK,99503,Anchorage,onsitebrewing.com,,BC/TR,,,2020
Anchorage AK,Resolution Brewing Co,3024 Mountain View Dr - Suite 106,Anchorage,AK,99501,Anchorage,www.resolutionbeer.com/,907-330-4523,BC/TR,,,2020
Anchorage AK,Turnagain Brewing Co,7924 King St,Anchorage,AK,99518,Anchorage,www.turnagainbrewing.com,907-301-1657,BC/TR,,,2020
Cooper Landing AK,Cooper Landing Brewing Co,34898 Caribou Heights Dr,Cooper Landing,AK,99572,Kenai Peninsula,www.cooperlandingbrewing.com,907-223-6101,BC,,,2122
Eagle River AK,Odd Man Rush Brewing Co,10930 Mausel St - A-1,Eagle River,AK,99577,Anchorage,oddmanrushbrewing.com/,907-696-2337,BC/TR,,,2020
