,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
0,1001,2.0,54571,25838,4.9,58233,112.5,0,AL,0.0
1,1003,3.0,182265,96763,5.6,59871,115.6,0,AL,3.0
2,1005,6.0,27457,8587,7.0,35972,69.5,3,AL,0.0
3,1007,1.0,22915,8640,6.6,47918,92.6,3,AL,0.0
4,1009,1.0,57322,24661,4.1,52902,102.2,0,AL,0.0
5,1011,6.0,10914,4818,5.5,31906,61.6,2,AL,0.0
6,1013,6.0,20947,9056,8.8,39944,77.2,3,AL,0.0
7,1015,3.0,118572,46240,7.1,47747,92.2,3,AL,1.0
8,1017,6.0,34215,15865,6.8,42015,81.2,3,AL,0.0
9,1019,6.0,25989,11513,4.6,45982,88.8,2,AL,0.0
10,1021,1.0,43643,19592,5.0,49692,96.0,0,AL,0.0
11,1023,9.0,13859,4621,6.7,39808,76.9,2,AL,0.0
12,1025,7.0,25833,7769,9.0,43822,84.6,3,AL,0.0
13,1027,9.0,13932,6083,4.0,40562,78.3,2,AL,0.0
14,1029,8.0,14972,5737,4.6,51276,99.0,2,AL,0.0
15,1031,4.0,49948,21502,4.4,57299,110.7,0,AL,0.0
16,1033,3.0,54428,23558,6.6,46683,90.2,3,AL,0.0
17,1035,7.0,13228,4529,7.3,41539,80.2,3,AL,0.0
18,1037,8.0,11539,4392,5.5,42024,81.2,2,AL,0.0
19,1039,6.0,37765,15172,4.9,44836,86.6,2,AL,0.0
20,1041,8.0,13906,6253,5.7,43309,83.7,2,AL,0.0
21,1043,4.0,80406,38310,4.3,50897,98.3,2,AL,1.0
22,1045,4.0,50251,20710,4.9,45120,87.2,2,AL,0.0
23,1047,4.0,43820,14619,10.7,34034,65.7,3,AL,0.0
24,1049,6.0,71109,30736,4.5,44277,85.5,2,AL,0.0
25,1051,2.0,79303,36620,4.9,62310,120.4,0,AL,0.0
26,1053,6.0,38319,14453,6.0,42712,82.5,2,AL,0.0
27,1055,3.0,104430,40724,7.7,43047,83.1,3,AL,1.0
28,1057,6.0,17241,6562,5.0,44212,85.4,2,AL,0.0
29,1059,6.0,31704,14424,4.4,44874,86.7,2,AL,0.0
30,1061,3.0,26790,10835,4.1,43089,83.2,2,AL,0.0
31,1063,8.0,9045,3015,10.9,28699,55.4,3,AL,0.0
32,1065,3.0,15760,6075,9.4,40745,78.7,3,AL,0.0
33,1067,3.0,17302,6814,4.8,48597,93.9,2,AL,0.0
34,1069,3.0,101547,46358,5.4,50138,96.8,2,AL,1.0
35,1071,6.0,53227,22840,5.3,44322,85.6,2,AL,0.0
36,1073,1.0,658466,315957,6.2,54127,104.6,0,AL,13.0
37,1075,8.0,14564,5730,4.9,42686,82.5,2,AL,0.0
38,1077,3.0,92709,41931,5.5,48188,93.1,2,AL,2.0
39,1079,3.0,34339,14363,4.9,47797,92.3,2,AL,0.0
40,1081,3.0,140247,75564,5.2,54160,104.6,0,AL,2.0
41,1083,2.0,82782,44624,4.3,64729,125.0,0,AL,0.0
42,1085,2.0,11299,3661,13.3,33930,65.5,3,AL,0.0
43,1087,6.0,21452,8063,9.6,34281,66.2,3,AL,0.0
44,1089,2.0,334811,187247,4.6,68609,132.5,0,AL,12.0
45,1091,7.0,21027,7766,6.2,38838,75.0,2,AL,0.0
46,1093,7.0,30776,13034,5.1,44675,86.3,2,AL,0.0
47,1095,4.0,93019,44275,4.2,48913,94.5,2,AL,1.0
48,1097,2.0,412992,190882,7.9,49492,95.6,0,AL,4.0
49,1099,7.0,23068,7474,8.2,40005,77.3,3,AL,0.0
50,1101,2.0,229363,107103,7.8,52711,101.8,0,AL,2.0
51,1103,3.0,119490,58899,4.5,54355,105.0,0,AL,0.0
52,1105,8.0,10591,3437,10.9,29572,57.1,3,AL,0.0
53,1107,3.0,19746,7660,6.5,40249,77.7,3,AL,0.0
54,1109,6.0,32899,15636,4.9,41271,79.7,2,AL,0.0
55,1111,6.0,22913,9414,4.7,42922,82.9,2,AL,0.0
56,1113,2.0,52947,23500,5.1,43670,84.4,3,AL,1.0
57,1115,1.0,83593,40132,4.9,65403,126.3,0,AL,0.0
58,1117,1.0,195085,114048,3.9,77801,150.3,0,AL,3.0
59,1119,8.0,13763,4745,7.0,29209,56.4,3,AL,0.0
60,1121,4.0,82291,36123,7.0,47719,92.2,3,AL,0.0
61,1123,6.0,41616,17864,6.9,47100,91.0,3,AL,0.0
62,1125,3.0,194656,102222,6.6,52307,101.0,0,AL,2.0
63,1127,1.0,67023,24877,5.8,45991,88.8,3,AL,2.0
64,1129,8.0,17581,6729,8.0,48864,94.4,3,AL,0.0
65,1131,9.0,11670,2871,14.7,30998,59.9,3,AL,0.0
66,1133,6.0,24484,10017,4.7,40827,78.9,2,AL,0.0
67,2020,2.0,291826,148392,7.4,82512,106.9,0,AK,13.0
68,2050,7.0,17013,6963,11.6,48262,62.5,3,AK,0.0
69,2060,9.0,997,417,7.4,87950,113.9,0,AK,0.0
70,2070,9.0,4847,1742,8.2,57436,74.4,3,AK,0.0
71,2090,3.0,97581,44679,6.4,74076,95.9,0,AK,4.0
72,2100,9.0,2508,1018,15.6,62548,81.0,3,AK,1.0
73,2110,5.0,31275,16374,6.6,85419,110.6,0,AK,5.0
74,2122,7.0,55400,26341,9.1,68625,88.9,3,AK,8.0
75,2130,7.0,13477,6520,9.6,75706,98.1,3,AK,2.0
76,2150,7.0,13592,6090,6.2,79669,103.2,0,AK,1.0
