,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
0,1001,2.0,54571,25838,4.9,58233,112.5,2,AL,0.0
4,1009,1.0,57322,24661,4.1,52902,102.2,2,AL,0.0
10,1021,1.0,43643,19592,5.0,49692,96.0,2,AL,0.0
25,1051,2.0,79303,36620,4.9,62310,120.4,2,AL,0.0
36,1073,1.0,658466,315957,6.2,54127,104.6,2,AL,13.0
41,1083,2.0,82782,44624,4.3,64729,125.0,2,AL,0.0
44,1089,2.0,334811,187247,4.6,68609,132.5,2,AL,12.0
57,1115,1.0,83593,40132,4.9,65403,126.3,2,AL,0.0
58,1117,1.0,195085,114048,3.9,77801,150.3,2,AL,3.0
67,2020,2.0,291826,148392,7.4,82512,106.9,2,AK,13.0
77,2170,2.0,88995,47848,8.3,75856,98.3,2,AK,6.0
91,4013,1.0,3817117,2331628,7.4,68634,110.7,2,AZ,55.0
95,4021,1.0,375770,191074,7.5,62067,100.1,2,AZ,1.0
102,5007,2.0,221339,140015,4.5,70775,144.4,2,AR,10.0
121,5045,2.0,113237,61682,5.4,58482,119.3,2,AR,0.0
125,5053,2.0,17853,8222,5.2,58566,119.5,2,AR,0.0
141,5085,2.0,68356,33550,5.5,62782,128.1,2,AR,0.0
161,5125,2.0,107118,58181,5.1,66944,136.6,2,AR,1.0
174,6001,1.0,1510271,813807,8.8,107589,133.8,2,CA,34.0
180,6013,1.0,1049025,541256,8.9,106555,132.5,2,CA,14.0
182,6017,1.0,181058,90752,8.3,86202,107.2,2,CA,13.0
192,6037,1.0,9818605,4921499,12.8,72721,90.4,2,CA,122.0
194,6041,1.0,252409,130138,6.7,112069,139.3,2,CA,6.0
200,6053,2.0,415057,213471,10.8,76509,95.1,2,CA,6.0
201,6055,3.0,136484,68867,8.7,90230,112.2,2,CA,8.0
203,6059,1.0,3010232,1553301,8.8,95761,119.1,2,CA,67.0
204,6061,1.0,348432,184892,7.3,97688,121.5,2,CA,15.0
206,6065,1.0,2189641,1107723,9.9,72905,90.7,2,CA,35.0
207,6067,1.0,1418788,707182,9.3,71891,89.4,2,CA,36.0
208,6069,1.0,55269,31528,9.9,84209,104.7,2,CA,3.0
209,6071,1.0,2035210,966206,9.4,67398,83.8,2,CA,28.0
210,6073,1.0,3095313,1538361,9.2,83576,103.9,2,CA,157.0
211,6075,1.0,805235,556056,7.8,121795,151.4,2,CA,34.0
213,6079,2.0,269637,132690,7.7,76599,95.2,2,CA,30.0
214,6081,1.0,718451,433876,6.9,135234,168.2,2,CA,11.0
215,6083,2.0,423895,217510,8.0,74530,92.7,2,CA,21.0
216,6085,1.0,1781642,1020693,7.0,132444,164.7,2,CA,21.0
217,6087,2.0,262382,133646,9.5,85770,106.6,2,CA,12.0
221,6095,2.0,413344,202812,9.5,85704,106.6,2,CA,7.0
222,6097,2.0,483878,245091,7.9,87084,108.3,2,CA,28.0
229,6111,2.0,823318,408867,8.6,91446,113.7,2,CA,22.0
230,6113,1.0,200849,105026,7.5,70951,88.2,2,CA,11.0
232,8001,1.0,441603,274498,8.0,75341,97.7,2,CO,11.0
234,8005,1.0,572003,366768,7.9,82364,106.8,2,CO,24.0
238,8013,2.0,294567,192879,6.2,88341,114.6,2,CO,44.0
241,8019,1.0,9088,6151,8.5,79900,103.6,2,CO,4.0
247,8031,1.0,600158,423824,8.2,75456,97.9,2,CO,79.0
249,8035,1.0,285465,194649,5.8,123697,160.4,2,CO,16.0
251,8039,1.0,23086,14961,4.7,101733,131.9,2,CO,1.0
252,8041,2.0,622263,344120,7.3,72675,94.3,2,CO,33.0
255,8047,1.0,5441,4016,11.3,74806,97.0,2,CO,2.0
261,8059,1.0,534543,333682,7.1,89696,116.3,2,CO,39.0
266,8069,2.0,299630,203683,6.3,75332,97.7,2,CO,44.0
278,8093,1.0,16206,11114,5.7,77221,100.2,2,CO,2.0
291,8119,2.0,23350,12984,7.5,70599,91.6,2,CO,2.0
293,8123,2.0,252825,166666,7.0,78160,101.4,2,CO,21.0
295,9001,2.0,916829,466208,7.9,96966,122.9,2,CT,15.0
296,9003,1.0,894014,476115,8.1,75336,95.5,2,CT,33.0
298,9007,1.0,165676,92221,6.5,81721,103.5,2,CT,7.0
299,9009,2.0,862477,457171,8.0,69687,88.3,2,CT,31.0
300,9011,2.0,274055,131992,9.6,75226,95.3,2,CT,17.0
301,9013,1.0,152691,84598,6.2,90181,114.3,2,CT,2.0
304,10003,1.0,538479,298640,7.7,76076,108.1,2,DE,18.0
306,11001,1.0,601723,409734,8.0,90395,100.0,2,DC,14.0
308,12003,1.0,27115,11759,4.9,60454,102.1,2,FL,0.0
312,12011,1.0,1748066,1020586,8.8,61429,103.8,2,FL,16.0
316,12019,1.0,190865,105658,5.4,75776,128.0,2,FL,1.0
317,12021,2.0,321520,177497,6.9,76415,129.1,2,FL,4.0
321,12031,1.0,864263,485114,6.7,58339,98.5,2,FL,19.0
323,12035,2.0,95696,46636,7.6,62831,106.1,2,FL,1.0
334,12057,1.0,1229226,754552,7.1,61133,103.3,2,FL,31.0
340,12069,1.0,297052,154028,8.9,57660,97.4,2,FL,5.0
341,12071,2.0,618754,345417,7.3,62364,105.3,2,FL,13.0
346,12081,2.0,322833,176496,6.8,64151,108.4,2,FL,7.0
348,12085,2.0,146318,72180,6.1,70806,119.6,2,FL,0.0
349,12086,1.0,2496435,1291854,8.0,54991,92.9,2,FL,22.0
351,12089,1.0,73314,41338,5.7,72818,123.0,2,FL,3.0
354,12095,1.0,1145956,737546,10.6,63133,106.6,2,FL,22.0
356,12099,1.0,1320134,717379,7.6,66621,112.5,2,FL,17.0
357,12101,1.0,464697,238327,7.2,55745,94.2,2,FL,8.0
358,12103,1.0,916542,484330,7.0,56708,95.8,2,FL,45.0
361,12109,1.0,190039,133843,5.3,90839,153.4,2,FL,4.0
363,12113,2.0,151372,82647,5.2,66139,111.7,2,FL,4.0
364,12115,2.0,379448,184464,6.8,66258,111.9,2,FL,6.0
365,12117,1.0,422718,237769,7.2,69954,118.2,2,FL,7.0
380,13013,1.0,69367,40112,5.1,68924,111.3,2,GA,0.0
381,13015,1.0,100157,49719,6.2,60254,97.3,2,GA,2.0
388,13029,2.0,30233,18718,5.3,79296,128.0,2,GA,0.0
395,13045,1.0,110527,54475,6.4,59193,95.5,2,GA,1.0
401,13057,1.0,214346,133045,4.9,88635,143.1,2,GA,5.0
406,13067,1.0,688078,414357,5.9,79622,128.5,2,GA,13.0
409,13073,2.0,124053,74411,4.2,88285,142.5,2,GA,0.0
411,13077,1.0,127317,73981,6.2,79232,127.9,2,GA,1.0
415,13085,1.0,22330,12319,4.7,69155,111.6,2,GA,0.0
417,13089,1.0,691893,395683,8.0,63606,102.7,2,GA,20.0
421,13097,1.0,132403,72297,7.4,62915,101.6,2,GA,0.0
424,13103,2.0,52250,31400,5.0,71628,115.6,2,GA,0.0
429,13113,1.0,106567,56444,5.4,94563,152.6,2,GA,1.0
431,13117,1.0,175511,120904,4.6,113332,182.9,2,GA,2.0
433,13121,1.0,920581,557232,8.0,79235,127.9,2,GA,38.0
440,13135,1.0,805321,481453,6.3,72225,116.6,2,GA,14.0
